country,date,confirmed_cumulative,deaths_cumulative,new_tests_per_thousand,total_vaccinations_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,hospital_beds_per_thousand,life_expectancy,population,mob_retail,mob_grocery,mob_transit,mob_work,mob_residential,new_cases,new_deaths,new_cases_7d,new_deaths_7d,new_cases_7d_lag7,new_cases_7d_lag14,new_cases_7d_lag21,new_cases_7d_rmean7,new_cases_7d_rstd7,new_cases_7d_rmax7,new_cases_7d_rmean14,new_cases_7d_rstd14,new_cases_7d_rmax14,new_cases_7d_rmean30,new_cases_7d_rstd30,new_cases_7d_rmax30,growth_rate,growth_accel,r0_estimate,cfr,day_of_week,month,week_of_year,days_since_start,mob_composite,vax_lag14
Sudan,2020-04-05,12,2,,0.0,0.08,76.85,23.26,19.7,0.8,65.31,46874200.0,,,,,,2.0,0.0,1.0,0.14285714285714285,0.42857142857142855,0.14285714285714285,0.0,0.7142857142857143,0.20203050891044208,1.0,0.5102040816326531,0.2611067238466787,1.0,0.33766233766233766,0.31343563001079106,1.0,0.39999999999999997,0.14999999999999997,0.6363636363636364,15.384615384615385,6,4,14,21,,0.0
Sudan,2020-04-06,12,2,,0.0,0.08,76.85,23.26,19.7,0.8,65.31,46874200.0,,,,,,0.0,0.0,0.8571428571428571,0.0,0.5714285714285714,0.14285714285714285,0.0,0.7551020408163265,0.19716158838352968,1.0,0.5612244897959183,0.2534799290992407,1.0,0.3602484472049689,0.3248221012105908,1.0,0.18181818181818182,-0.19318181818181818,0.5454545454545454,15.384615384615385,0,4,15,22,,0.0
Sudan,2020-04-07,14,2,,0.0,0.08,76.85,23.26,19.7,0.8,65.31,46874200.0,,,,,,2.0,0.0,1.0,0.0,0.5714285714285714,0.2857142857142857,0.0,0.8163265306122449,0.19716158838352962,1.0,0.6122448979591837,0.2653664947611615,1.0,0.38690476190476186,0.3434755465094789,1.0,0.27272727272727276,0.050505050505050525,0.6363636363636364,13.333333333333334,1,4,15,23,,0.0
Sudan,2020-04-08,14,2,,0.0,0.08,76.85,23.26,19.7,0.8,65.31,46874200.0,,,,,,0.0,0.0,1.0,0.0,0.5714285714285714,0.2857142857142857,0.0,0.8775510204081632,0.17356939894113002,1.0,0.663265306122449,0.26642079567442833,1.0,0.41142857142857137,0.35790395093549626,1.0,0.27272727272727276,0.050505050505050525,0.5,13.333333333333334,2,4,15,24,,0.0
Sudan,2020-04-09,14,2,,0.0,0.08,76.85,23.26,19.7,0.8,65.31,46874200.0,,,,,,0.0,0.0,1.0,0.0,0.5714285714285714,0.2857142857142857,0.0,0.9387755102040816,0.11239939892420565,1.0,0.7142857142857143,0.25677629550654785,1.0,0.434065934065934,0.36918170788649673,1.0,0.27272727272727276,0.050505050505050525,0.5833333333333333,13.333333333333334,3,4,15,25,,0.0
Sudan,2020-04-10,15,2,,0.0,0.08,76.85,23.26,19.7,0.8,65.31,46874200.0,,,,,,1.0,0.0,0.7142857142857143,0.0,1.0,0.2857142857142857,0.0,0.8979591836734694,0.13588424731590562,1.0,0.7448979591836734,0.22537999607968176,1.0,0.4444444444444444,0.36600720869734205,1.0,-0.14285714285714285,-0.6984126984126984,0.35714285714285715,12.5,4,4,15,26,,0.0
Sudan,2020-04-11,19,2,,0.0,0.08,76.85,23.26,19.7,0.8,65.31,46874200.0,,,,,,4.0,0.0,1.2857142857142858,0.0,0.7142857142857143,0.42857142857142855,0.14285714285714285,0.9795918367346939,0.1735693989411299,1.2857142857142858,0.8061224489795918,0.24811466722364559,1.2857142857142858,0.4744897959183673,0.3927798316012812,1.2857142857142858,0.33333333333333337,0.13333333333333336,0.6923076923076923,10.0,5,4,15,27,,0.0
Sudan,2020-04-12,19,2,,0.0,0.08,76.85,23.26,19.7,0.8,65.31,46874200.0,,,,,,0.0,0.0,1.0,0.0,1.0,0.42857142857142855,0.14285714285714285,0.9795918367346939,0.1735693989411299,1.2857142857142858,0.8469387755102041,0.2273613967990813,1.2857142857142858,0.4926108374384236,0.3978554151146887,1.2857142857142858,0.0,-0.39999999999999997,0.5,10.0,6,4,15,28,,0.0
Sudan,2020-04-13,19,4,,0.0,0.08,79.63,23.26,19.7,0.8,65.31,46874200.0,,,,,,0.0,2.0,1.0,0.2857142857142857,0.8571428571428571,0.5714285714285714,0.14285714285714285,1.0,0.16495721976846411,1.2857142857142858,0.8775510204081634,0.2159796988624157,1.2857142857142858,0.5095238095238095,0.40176131106332713,1.2857142857142858,0.07692307692307694,-0.10489510489510488,0.5,20.0,0,4,16,29,,0.0
Sudan,2020-04-14,29,5,,0.0,0.08,79.63,23.26,19.7,0.8,65.31,46874200.0,,,,,,10.0,1.0,2.142857142857143,0.42857142857142855,1.0,0.5714285714285714,0.2857142857142857,1.163265306122449,0.4623849106929638,2.142857142857143,0.9897959183673469,0.38603684402244864,2.142857142857143,0.5809523809523809,0.4890544861319826,2.142857142857143,0.5714285714285714,0.29870129870129863,1.0714285714285714,16.666666666666664,1,4,16,30,,0.0
