country,date,confirmed_cumulative,deaths_cumulative,new_tests_per_thousand,total_vaccinations_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,hospital_beds_per_thousand,life_expectancy,population,mob_retail,mob_grocery,mob_transit,mob_work,mob_residential,new_cases,new_deaths,new_cases_7d,new_deaths_7d,new_cases_7d_lag7,new_cases_7d_lag14,new_cases_7d_lag21,new_cases_7d_rmean7,new_cases_7d_rstd7,new_cases_7d_rmax7,new_cases_7d_rmean14,new_cases_7d_rstd14,new_cases_7d_rmax14,new_cases_7d_rmean30,new_cases_7d_rstd30,new_cases_7d_rmax30,growth_rate,growth_accel,r0_estimate,cfr,day_of_week,month,week_of_year,days_since_start,mob_composite,vax_lag14
Summer Olympics 2020,2021-07-11,6,0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,0.0,0.0,0.0,0.0,0.15306122448979595,0.3041537954473714,0.7142857142857143,0.24567099567099568,0.3727421944569467,1.0,0.0,0.41666666666666663,0.0,0.0,6,7,27,21,,0.0
Summer Olympics 2020,2021-07-12,6,0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,0.0,0.0,0.0,0.0,0.10204081632653061,0.2593832282866295,0.7142857142857143,0.2349896480331263,0.3677574395085126,1.0,0.0,0.41666666666666663,0.0,0.0,0,7,28,22,,0.0
Summer Olympics 2020,2021-07-13,6,0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,0.0,0.0,0.0,0.0,0.05102040816326531,0.190900887080303,0.7142857142857143,0.2251984126984127,0.3628582817528484,1.0,0.0,0.41666666666666663,0.0,0.0,1,7,28,23,,0.0
Summer Olympics 2020,2021-07-14,6,0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2161904761904762,0.3580623085163326,1.0,0.0,0.41666666666666663,0.0,0.0,2,7,28,24,,0.0
Summer Olympics 2020,2021-07-15,19,0,,,,,,,,,,,,,,,13.0,0.0,1.8571428571428572,0.0,0.0,0.0,1.0,0.2653061224489796,0.7019340213028505,1.8571428571428572,0.1326530612244898,0.4963423064087881,1.8571428571428572,0.2793040293040293,0.4760741616186422,1.8571428571428572,1.8571428571428572,1.8571428571428572,1.8571428571428572,0.0,3,7,28,25,,0.0
Summer Olympics 2020,2021-07-16,19,0,,,,,,,,,,,,,,,0.0,0.0,1.8571428571428572,0.0,0.0,0.0,0.8333333333333334,0.5306122448979592,0.9061929248807808,1.8571428571428572,0.2653061224489796,0.674396393545237,1.8571428571428572,0.3377425044091711,0.5568984873523094,1.8571428571428572,1.8571428571428572,1.8571428571428572,1.8571428571428572,0.0,4,7,28,26,,0.0
Summer Olympics 2020,2021-07-17,19,0,,,,,,,,,,,,,,,0.0,0.0,1.8571428571428572,0.0,0.0,0.0,0.7142857142857143,0.7959183673469388,0.9926846128175763,1.8571428571428572,0.3979591836734694,0.7907998681631658,1.8571428571428572,0.39200680272108845,0.6173318422554834,1.8571428571428572,1.8571428571428572,1.8571428571428572,1.8571428571428572,0.0,5,7,28,27,,0.0
Summer Olympics 2020,2021-07-18,19,0,,,,,,,,,,,,,,,0.0,0.0,1.8571428571428572,0.0,0.0,0.0,0.7142857142857143,1.0612244897959184,0.9926846128175763,1.8571428571428572,0.5306122448979592,0.8706420003143486,1.8571428571428572,0.4425287356321839,0.6644617705333363,1.8571428571428572,1.8571428571428572,1.8571428571428572,1.8571428571428572,0.0,6,7,28,28,,0.0
Summer Olympics 2020,2021-07-19,61,0,,,,,,,,,,,,,,,42.0,0.0,7.857142857142857,0.0,0.0,0.0,0.7142857142857143,2.183673469387755,2.650522071169573,7.857142857142857,1.0918367346938775,2.127495961701313,7.857142857142857,0.6896825396825397,1.5029421368082296,7.857142857142857,7.857142857142857,7.857142857142857,7.857142857142857,0.0,0,7,29,29,,0.0
Summer Olympics 2020,2021-07-20,61,0,,,,,,,,,,,,,,,0.0,0.0,7.857142857142857,0.0,0.0,0.0,0.7142857142857143,3.306122448979592,3.182037779707664,7.857142857142857,1.653061224489796,2.7597205314987563,7.857142857142857,0.9515873015873015,1.9856834070570628,7.857142857142857,7.857142857142857,7.857142857142857,2.75,0.0,1,7,29,30,,0.0
