country,date,confirmed_cumulative,deaths_cumulative,new_tests_per_thousand,total_vaccinations_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,hospital_beds_per_thousand,life_expectancy,population,mob_retail,mob_grocery,mob_transit,mob_work,mob_residential,new_cases,new_deaths,new_cases_7d,new_deaths_7d,new_cases_7d_lag7,new_cases_7d_lag14,new_cases_7d_lag21,new_cases_7d_rmean7,new_cases_7d_rstd7,new_cases_7d_rmax7,new_cases_7d_rmean14,new_cases_7d_rstd14,new_cases_7d_rmax14,new_cases_7d_rmean30,new_cases_7d_rstd30,new_cases_7d_rmax30,growth_rate,growth_accel,r0_estimate,cfr,day_of_week,month,week_of_year,days_since_start,mob_composite,vax_lag14
Sweden,2020-02-23,1,0,1.13,0.02,0.0,5.56,24.72,41.0,2.22,82.8,10549349.0,2.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,2,8,21,0.25,0.02
Sweden,2020-02-24,1,0,1.13,0.02,0.0,5.56,24.72,41.0,2.22,82.8,10549349.0,2.0,0.0,-3.0,-4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,9,22,-1.25,0.02
Sweden,2020-02-25,1,0,1.13,0.02,0.0,5.56,24.72,41.0,2.22,82.8,10549349.0,8.0,9.0,-3.0,-4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,9,23,2.5,0.02
Sweden,2020-02-26,2,0,1.13,0.02,0.0,5.56,24.72,41.0,2.22,82.8,10549349.0,5.0,2.0,-5.0,-4.0,1.0,1.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.02040816326530612,0.05399492471560389,0.14285714285714285,0.01020408163265306,0.038180177416060626,0.14285714285714285,0.005714285714285714,0.028571428571428567,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,2,2,9,24,-0.5,0.02
Sweden,2020-02-27,3,0,1.13,0.02,0.0,5.56,24.72,41.0,2.22,82.8,10549349.0,7.0,4.0,-2.0,-5.0,1.0,1.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.061224489795918366,0.11239939892420615,0.2857142857142857,0.030612244897959183,0.08270488907454848,0.2857142857142857,0.016483516483516484,0.061636499614857836,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.0,3,2,9,25,1.0,0.02
Sweden,2020-02-28,11,0,1.13,0.02,0.0,5.56,24.72,41.0,2.22,82.8,10549349.0,7.0,2.0,-1.0,-6.0,1.0,8.0,0.0,1.4285714285714286,0.0,0.0,0.0,0.0,0.2653061224489796,0.5244275883594023,1.4285714285714286,0.1326530612244898,0.38194859276790194,1.4285714285714286,0.06878306878306878,0.2783963111751566,1.4285714285714286,1.4285714285714286,1.4285714285714286,1.4285714285714286,0.0,4,2,9,26,0.5,0.02
Sweden,2020-02-29,14,0,1.13,0.02,0.0,5.56,24.72,41.0,2.22,82.8,10549349.0,8.0,4.0,5.0,0.0,0.0,3.0,0.0,1.8571428571428572,0.0,0.0,0.0,0.0,0.5306122448979592,0.7768516861499706,1.8571428571428572,0.2653061224489796,0.5952642589749593,1.8571428571428572,0.1326530612244898,0.43457622459005274,1.8571428571428572,1.8571428571428572,1.8571428571428572,1.8571428571428572,0.0,5,2,9,27,4.25,0.02
Sweden,2020-03-01,14,0,1.13,0.02,0.0,5.56,24.72,41.0,2.22,82.8,10549349.0,-1.0,-2.0,-6.0,-2.0,1.0,0.0,0.0,1.8571428571428572,0.0,0.0,0.0,0.0,0.7959183673469388,0.8762052645897818,1.8571428571428572,0.3979591836734694,0.7244953235688038,1.8571428571428572,0.1921182266009852,0.5335341517303573,1.8571428571428572,1.8571428571428572,1.8571428571428572,1.8571428571428572,0.0,6,3,9,28,-2.75,0.02
Sweden,2020-03-02,19,0,1.13,0.02,0.0,13.89,24.72,41.0,2.22,82.8,10549349.0,1.0,2.0,-3.0,-2.0,1.0,5.0,0.0,2.5714285714285716,0.0,0.0,0.0,0.0,1.163265306122449,1.0149513960031709,2.5714285714285716,0.5816326530612245,0.91638544212454,2.5714285714285716,0.2714285714285714,0.6808427116666204,2.5714285714285716,2.5714285714285716,2.5714285714285716,2.2500000000000004,0.0,0,3,10,29,-0.5,0.02
Sweden,2020-03-03,32,0,1.13,0.02,0.0,13.89,24.72,41.0,2.22,82.8,10549349.0,0.0,2.0,-4.0,-2.0,1.0,13.0,0.0,4.428571428571429,0.0,0.0,0.0,0.0,1.795918367346939,1.454192023497947,4.428571428571429,0.8979591836734695,1.3580720606472774,4.428571428571429,0.4190476190476191,1.0170491276162559,4.428571428571429,4.428571428571429,4.428571428571429,3.444444444444445,0.0,1,3,10,30,-1.0,0.02
