country,date,confirmed_cumulative,deaths_cumulative,new_tests_per_thousand,total_vaccinations_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,hospital_beds_per_thousand,life_expectancy,population,mob_retail,mob_grocery,mob_transit,mob_work,mob_residential,new_cases,new_deaths,new_cases_7d,new_deaths_7d,new_cases_7d_lag7,new_cases_7d_lag14,new_cases_7d_lag21,new_cases_7d_rmean7,new_cases_7d_rstd7,new_cases_7d_rmax7,new_cases_7d_rmean14,new_cases_7d_rstd14,new_cases_7d_rmax14,new_cases_7d_rmean30,new_cases_7d_rstd30,new_cases_7d_rmax30,growth_rate,growth_accel,r0_estimate,cfr,day_of_week,month,week_of_year,days_since_start,mob_composite,vax_lag14
Switzerland,2020-03-18,3028,48,0.29,0.0,,73.15,214.24,43.1,4.53,83.78,8740471.0,-62.0,-4.0,-45.0,-38.0,18.0,328.0,8.0,339.42857142857144,5.857142857142857,80.28571428571429,12.714285714285714,0.0,220.9795918367347,99.59241524310623,339.42857142857144,132.94897959183672,114.61265881606661,339.42857142857144,86.54426406926406,109.9306499411796,339.42857142857144,3.18804920913884,-1.7390341241944949,2.5493562231759657,1.5846814130075932,2,3,12,21,-37.25,0.0
Switzerland,2020-03-19,4075,58,0.29,0.0,,73.15,214.24,43.1,4.53,83.78,8740471.0,-65.0,-10.0,-51.0,-46.0,21.0,1047.0,10.0,489.0,6.857142857142857,76.85714285714286,15.142857142857142,3.5,279.85714285714283,119.9372001206845,489.0,166.79591836734696,143.47989224871884,489.0,104.04233954451345,136.29982362875947,489.0,5.293577981651375,1.4705691320938525,3.1174863387978142,1.422963689892051,3,3,12,22,-43.0,0.0
Switzerland,2020-03-20,5294,78,0.29,0.0,,73.15,214.24,43.1,4.53,83.78,8740471.0,-67.0,-4.0,-56.0,-45.0,24.0,1219.0,20.0,593.5714285714286,9.571428571428571,132.14285714285714,29.428571428571427,2.3333333333333335,345.7755102040816,148.5990784056639,593.5714285714286,207.09183673469389,177.1915796797261,593.5714285714286,124.43938492063494,166.59791535686057,593.5714285714286,3.4656652360515023,0.09007838159140835,2.2219251336898393,1.4730878186968839,4,3,12,23,-43.0,0.0
Switzerland,2020-03-21,6575,98,0.29,0.0,,73.15,214.24,43.1,4.53,83.78,8740471.0,-78.0,-26.0,-62.0,-43.0,19.0,1281.0,20.0,745.1428571428571,12.0,155.85714285714286,35.714285714285715,4.25,429.95918367346934,185.430657305124,745.1428571428571,257.765306122449,220.54801594656922,745.1428571428571,149.26752380952382,204.96176397891497,745.1428571428571,3.756830601092896,0.48445706023686474,2.845608292416803,1.4902676399026764,5,3,12,24,-52.25,0.0
Switzerland,2020-03-22,7474,113,0.29,0.0,,73.15,214.24,43.1,4.53,83.78,8740471.0,-82.0,-49.0,-66.0,-45.0,15.0,899.0,15.0,753.4285714285714,13.0,266.14285714285717,44.285714285714285,5.2,499.57142857142856,204.19874938818975,753.4285714285714,308.4183673469388,247.53039211641308,753.4285714285714,172.50448717948717,233.16907993706417,753.4285714285714,1.8240641711229943,-3.0749894566372586,2.3799638989169676,1.5117056856187292,6,3,12,25,-60.5,0.0
Switzerland,2020-03-23,8795,141,0.29,0.0,,73.15,214.24,43.1,4.53,83.78,8740471.0,-68.0,-20.0,-59.0,-46.0,22.0,1321.0,28.0,942.1428571428571,15.428571428571429,260.85714285714283,47.42857142857143,6.833333333333333,596.8979591836734,231.93409975205032,942.1428571428571,372.3265306122449,287.27343501154536,942.1428571428571,201.0096119929453,272.4250128786513,942.1428571428571,2.6017457719585377,-1.8053338740591607,2.7675199328577422,1.6030013642564802,0,3,13,26,-48.25,0.0
Switzerland,2020-03-24,9877,161,0.29,0.0,,73.15,214.24,43.1,4.53,83.78,8740471.0,-69.0,-19.0,-58.0,-49.0,24.0,1082.0,20.0,1025.2857142857142,17.285714285714285,315.57142857142856,62.142857142857146,7.857142857142857,698.2857142857143,243.30216928385852,1025.2857142857142,441.12244897959187,320.6627548955672,1025.2857142857142,230.44804421768706,309.4059885537785,1025.2857142857142,2.2418772563176894,-1.7716974043157947,2.092419825072886,1.6298845920226765,1,3,13,27,-48.75,0.0
Switzerland,2020-03-25,10897,196,0.29,0.0,,73.15,214.24,43.1,4.53,83.78,8740471.0,-70.0,-19.0,-59.0,-49.0,23.0,1020.0,35.0,1124.142857142857,21.142857142857142,339.42857142857144,80.28571428571429,12.714285714285714,810.3877551020407,230.86195648985705,1124.142857142857,515.6836734693877,350.29682940690725,1124.142857142857,261.2651067323481,346.1995267523699,1124.142857142857,2.3050776332354173,-0.8829715759034227,1.89067755886593,1.7984951367223345,2,3,13,28,-49.25,0.0
Switzerland,2020-03-26,11811,238,0.29,0.0,,73.15,214.24,43.1,4.53,83.78,8740471.0,-70.0,-18.0,-61.0,-50.0,24.0,914.0,42.0,1105.142857142857,25.714285714285715,489.0,76.85714285714286,15.142857142857142,898.4081632653061,203.77307354134393,1124.142857142857,589.1326530612245,358.9052973233146,1124.142857142857,289.39436507936506,373.4419193840069,1124.142857142857,1.2574344023323614,-4.036143579319014,1.4811411066436915,2.0149001015916017,3,3,13,29,-49.75,0.0
Switzerland,2020-03-27,12928,273,0.29,0.0,,73.15,214.24,43.1,4.53,83.78,8740471.0,-69.0,-13.0,-58.0,-49.0,26.0,1117.0,35.0,1090.5714285714287,27.857142857142858,593.5714285714286,132.14285714285714,29.428571428571427,969.4081632653061,162.2010474263352,1124.142857142857,657.5918367346939,356.430713539965,1124.142857142857,325.746746031746,396.65836372783184,1124.142857142857,0.8358962037481982,-2.629769032303304,1.4455595531149406,2.1115322144017323,4,3,13,30,-47.25,0.0
Switzerland,2020-03-28,14076,329,0.29,0.0,,73.15,214.24,43.1,4.53,83.78,8740471.0,-73.0,-19.0,-53.0,-43.0,17.0,1148.0,56.0,1071.5714285714287,33.0,745.1428571428571,155.85714285714286,35.714285714285715,1016.0408163265307,130.87860383087525,1124.142857142857,723.0,340.9605555939829,1124.142857142857,361.349126984127,414.2789112885767,1124.142857142857,0.43748803369710915,-3.3193425673957866,1.136170857315965,2.3371456986573844,5,3,13,31,-47.0,0.0
Switzerland,2020-03-29,14829,376,0.29,0.0,,73.15,214.24,43.1,4.53,83.78,8740471.0,-81.0,-51.0,-68.0,-46.0,15.0,753.0,47.0,1050.7142857142858,37.57142857142857,753.4285714285714,266.14285714285717,44.285714285714285,1058.5102040816328,61.082962271679534,1124.142857142857,779.0408163265305,324.1573083076588,1124.142857142857,396.2951587301587,426.97325692525806,1124.142857142857,0.39405415640977093,-1.4300100147132233,1.0238028953229399,2.5354012137559003,6,3,13,32,-61.5,0.0
