country,date,confirmed_cumulative,deaths_cumulative,new_tests_per_thousand,total_vaccinations_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,hospital_beds_per_thousand,life_expectancy,population,mob_retail,mob_grocery,mob_transit,mob_work,mob_residential,new_cases,new_deaths,new_cases_7d,new_deaths_7d,new_cases_7d_lag7,new_cases_7d_lag14,new_cases_7d_lag21,new_cases_7d_rmean7,new_cases_7d_rstd7,new_cases_7d_rmax7,new_cases_7d_rmean14,new_cases_7d_rstd14,new_cases_7d_rmax14,new_cases_7d_rmean30,new_cases_7d_rstd30,new_cases_7d_rmax30,growth_rate,growth_accel,r0_estimate,cfr,day_of_week,month,week_of_year,days_since_start,mob_composite,vax_lag14
Tanzania,2020-04-07,24,1,,0.16,0.16,47.22,64.7,17.7,0.7,65.46,65497752.0,-19.0,-8.0,-15.0,-43.0,12.0,0.0,0.0,0.7142857142857143,0.0,1.0,1.5714285714285714,0.0,0.9387755102040817,0.18177400293724486,1.1428571428571428,0.9489795918367347,0.24811466722364553,1.2857142857142858,1.0535714285714286,0.41564906512667155,1.8333333333333333,-0.14285714285714285,0.07936507936507939,0.35714285714285715,4.0,1,4,15,21,-21.25,0.16
Tanzania,2020-04-08,25,1,,0.16,0.16,47.22,64.7,17.7,0.7,65.46,65497752.0,-13.0,0.0,-9.0,-17.0,5.0,1.0,0.0,0.7142857142857143,0.0,1.1428571428571428,1.2857142857142858,1.0,0.8775510204081634,0.17356939894113207,1.1428571428571428,0.9081632653061223,0.2351200825974611,1.1428571428571428,1.0388198757763976,0.41220895280216574,1.8333333333333333,-0.19999999999999996,-0.1374999999999999,0.35714285714285715,3.8461538461538463,2,4,15,22,-9.75,0.16
Tanzania,2020-04-09,25,1,,0.16,0.16,47.22,64.7,17.7,0.7,65.46,65497752.0,-11.0,3.0,-7.0,-18.0,5.0,0.0,0.0,0.7142857142857143,0.0,1.0,1.0,1.6666666666666667,0.8367346938775511,0.1735693989411322,1.1428571428571428,0.8877551020408163,0.23890495491667968,1.1428571428571428,1.025297619047619,0.4085547616251389,1.8333333333333333,-0.14285714285714285,-0.14285714285714285,0.38461538461538464,3.8461538461538463,3,4,15,23,-8.25,0.16
Tanzania,2020-04-10,32,3,,0.16,0.16,47.22,64.7,17.7,0.7,65.46,65497752.0,-26.0,-13.0,-20.0,-45.0,13.0,7.0,2.0,1.7142857142857142,0.2857142857142857,1.0,1.0,1.25,0.9387755102040816,0.3766766857117593,1.7142857142857142,0.9387755102040816,0.3253510878161102,1.7142857142857142,1.052857142857143,0.4230251793252495,1.8333333333333333,0.3571428571428571,0.3571428571428571,0.7999999999999999,9.090909090909092,4,4,15,24,-26.0,0.16
Tanzania,2020-04-11,32,3,,0.16,0.16,47.22,64.7,17.7,0.7,65.46,65497752.0,-23.0,-6.0,-16.0,-17.0,7.0,0.0,0.0,1.7142857142857142,0.2857142857142857,0.8571428571428571,1.1428571428571428,1.0,1.0612244897959184,0.47277688037806986,1.7142857142857142,0.979591836734694,0.38355988832842575,1.7142857142857142,1.0782967032967032,0.4343025930946561,1.8333333333333333,0.4615384615384615,0.5948717948717949,0.9999999999999999,9.090909090909092,5,4,15,25,-15.5,0.16
Tanzania,2020-04-12,32,3,,0.16,0.16,52.78,64.7,17.7,0.7,65.46,65497752.0,-36.0,-28.0,-33.0,-25.0,10.0,0.0,0.0,1.4285714285714286,0.2857142857142857,1.1428571428571428,0.2857142857142857,1.8333333333333333,1.1020408163265307,0.49290397095882477,1.7142857142857142,1.0612244897959182,0.3441107380551399,1.7142857142857142,1.0912698412698414,0.43117089151988447,1.8333333333333333,0.1333333333333334,-0.5333333333333333,0.8333333333333333,9.090909090909092,6,4,15,26,-30.5,0.16
Tanzania,2020-04-13,49,3,,0.16,0.16,52.78,64.7,17.7,0.7,65.46,65497752.0,-30.0,-19.0,-26.0,-52.0,17.0,17.0,0.0,3.5714285714285716,0.2857142857142857,0.7142857142857143,1.0,1.5714285714285714,1.510204081632653,1.0197276642477953,3.5714285714285716,1.2448979591836733,0.7526584416320833,3.5714285714285716,1.1798469387755102,0.6314333736635951,3.5714285714285716,1.6666666666666665,1.8095238095238093,2.0833333333333335,6.0,0,4,16,27,-31.75,0.16
Tanzania,2020-04-14,53,3,,0.16,0.16,52.78,64.7,17.7,0.7,65.46,65497752.0,-20.0,-9.0,-15.0,-19.0,7.0,4.0,0.0,4.142857142857143,0.2857142857142857,0.7142857142857143,1.0,1.5714285714285714,2.0,1.3451854182690983,4.142857142857143,1.4693877551020407,1.0740679160629305,4.142857142857143,1.2820197044334976,0.8289797810610585,4.142857142857143,2.0,2.142857142857143,2.4166666666666665,5.555555555555555,1,4,16,28,-15.75,0.16
Tanzania,2020-04-15,88,4,,0.16,0.16,52.78,64.7,17.7,0.7,65.46,65497752.0,-19.0,-5.0,-14.0,-19.0,8.0,35.0,1.0,9.0,0.42857142857142855,0.7142857142857143,1.1428571428571428,1.2857142857142858,3.183673469387755,2.840085135394299,9.0,2.0306122448979593,2.2734413443250667,9.0,1.5392857142857144,1.627600891680965,9.0,4.833333333333333,5.033333333333333,3.31578947368421,4.49438202247191,2,4,16,29,-14.25,0.16
Tanzania,2020-04-16,94,4,,0.16,0.16,52.78,64.7,17.7,0.7,65.46,65497752.0,-20.0,-5.0,-15.0,-19.0,9.0,6.0,0.0,9.857142857142858,0.42857142857142855,0.7142857142857143,1.0,1.0,4.489795918367347,3.532990430213555,9.857142857142858,2.6632653061224487,3.0606671392150915,9.857142857142858,1.8678571428571429,2.200329337762958,9.857142857142858,5.333333333333334,5.476190476190477,3.6315789473684212,4.2105263157894735,3,4,16,30,-14.75,0.16
