country,date,confirmed_cumulative,deaths_cumulative,new_tests_per_thousand,total_vaccinations_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,hospital_beds_per_thousand,life_expectancy,population,mob_retail,mob_grocery,mob_transit,mob_work,mob_residential,new_cases,new_deaths,new_cases_7d,new_deaths_7d,new_cases_7d_lag7,new_cases_7d_lag14,new_cases_7d_lag21,new_cases_7d_rmean7,new_cases_7d_rstd7,new_cases_7d_rmax7,new_cases_7d_rmean14,new_cases_7d_rstd14,new_cases_7d_rmax14,new_cases_7d_rmean30,new_cases_7d_rstd30,new_cases_7d_rmax30,growth_rate,growth_accel,r0_estimate,cfr,day_of_week,month,week_of_year,days_since_start,mob_composite,vax_lag14
Thailand,2020-02-13,33,0,0.0,0.0,0.01,0.0,135.13,40.1,2.1,77.15,71697024.0,,,,,,0.0,0.0,1.1428571428571428,0.0,1.5714285714285714,1.4285714285714286,0.0,1.4081632653061225,0.4319593977248314,1.8571428571428572,1.540816326530612,0.3462223649511611,2.0,1.3209956709956712,0.5163573357235378,2.0,-0.16666666666666669,-0.22549019607843135,0.39999999999999997,0.0,3,2,7,21,,0.0
Thailand,2020-02-14,33,0,0.0,0.0,0.01,0.0,135.13,40.1,2.1,77.15,71697024.0,,,,,,0.0,0.0,1.1428571428571428,0.0,0.8571428571428571,2.0,0.5,1.4489795918367345,0.3818017741606066,1.8571428571428572,1.4795918367346939,0.334359637065253,1.8571428571428572,1.3132505175983438,0.5058510599271233,2.0,0.15384615384615383,0.5347985347985348,0.39999999999999997,0.0,4,2,7,22,,0.0
Thailand,2020-02-15,34,0,0.0,0.0,0.01,0.0,135.13,40.1,2.1,77.15,71697024.0,-3.0,1.0,-2.0,7.0,1.0,1.0,0.0,0.2857142857142857,0.0,1.8571428571428572,1.8571428571428572,0.6666666666666666,1.2244897959183674,0.5336126576609085,1.8571428571428572,1.3673469387755102,0.4437399414979971,1.8571428571428572,1.2704365079365079,0.5373572307021527,2.0,-0.55,-0.55,0.09999999999999999,0.0,5,2,7,23,0.75,0.0
Thailand,2020-02-16,34,0,0.0,0.0,0.01,0.0,135.13,40.1,2.1,77.15,71697024.0,-3.0,2.0,-4.0,2.0,2.0,0.0,0.0,0.2857142857142857,0.0,1.8571428571428572,1.5714285714285714,1.0,1.0,0.553283335172488,1.8571428571428572,1.2755102040816326,0.5240354396031633,1.8571428571428572,1.231047619047619,0.5617014698167128,2.0,-0.55,-0.6611111111111112,0.13333333333333333,0.0,6,2,7,24,-0.75,0.0
Thailand,2020-02-17,35,0,0.0,0.0,0.01,0.0,135.13,40.1,2.1,77.15,71697024.0,-3.0,1.0,-4.0,2.0,1.0,1.0,0.0,0.42857142857142855,0.0,1.8571428571428572,1.5714285714285714,0.8,0.7959183673469387,0.435321000157174,1.1428571428571428,1.1938775510204083,0.562030247897272,1.8571428571428572,1.2001831501831501,0.5724126142407373,2.0,-0.5,-0.6111111111111112,0.19999999999999998,0.0,0,2,8,25,-1.0,0.0
Thailand,2020-02-18,35,0,0.0,0.0,0.01,0.0,135.13,40.1,2.1,77.15,71697024.0,-3.0,0.0,-6.0,0.0,2.0,0.0,0.0,0.2857142857142857,0.0,1.1428571428571428,1.5714285714285714,1.6666666666666667,0.673469387755102,0.4419675066879121,1.1428571428571428,1.1020408163265307,0.5993941772169153,1.8571428571428572,1.1663139329805996,0.5882400734078662,2.0,-0.39999999999999997,-0.23333333333333328,0.13333333333333333,0.0,1,2,8,26,-2.25,0.0
Thailand,2020-02-19,35,0,0.0,0.0,0.01,0.0,135.13,40.1,2.1,77.15,71697024.0,-4.0,-3.0,-6.0,0.0,1.0,0.0,0.0,0.2857142857142857,0.0,1.1428571428571428,1.5714285714285714,1.4285714285714286,0.5510204081632653,0.40765274194771733,1.1428571428571428,1.010204081632653,0.6200832620303427,1.8571428571428572,1.1348639455782312,0.6007540593098991,2.0,-0.39999999999999997,-0.23333333333333328,0.13333333333333333,0.0,2,2,8,27,-3.25,0.0
Thailand,2020-02-20,35,0,0.0,0.0,0.01,0.0,135.13,40.1,2.1,77.15,71697024.0,-4.0,-2.0,-4.0,1.0,1.0,0.0,0.0,0.2857142857142857,0.0,1.1428571428571428,1.5714285714285714,1.4285714285714286,0.42857142857142855,0.3194382824999691,1.1428571428571428,0.9183673469387755,0.6257536384691758,1.8571428571428572,1.1055829228243022,0.6106389524893102,2.0,-0.39999999999999997,-0.23333333333333328,0.22222222222222224,0.0,3,2,8,28,-2.25,0.0
Thailand,2020-02-21,35,0,0.0,0.0,0.01,0.0,135.13,40.1,2.1,77.15,71697024.0,-4.0,1.0,-5.0,1.0,2.0,0.0,0.0,0.2857142857142857,0.0,1.1428571428571428,0.8571428571428571,2.0,0.30612244897959184,0.05399492471559789,0.42857142857142855,0.8775510204081632,0.6482851255019456,1.8571428571428572,1.0782539682539682,0.6184077573927448,2.0,-0.39999999999999997,-0.5538461538461538,0.22222222222222224,0.0,4,2,8,29,-1.75,0.0
Thailand,2020-02-22,35,0,0.0,0.0,0.01,0.0,135.13,40.1,2.1,77.15,71697024.0,-4.0,0.0,-6.0,4.0,2.0,0.0,0.0,0.14285714285714285,0.0,0.2857142857142857,1.8571428571428572,1.8571428571428572,0.2857142857142857,0.08247860988422823,0.42857142857142855,0.7551020408163265,0.6097804927867648,1.8571428571428572,1.083015873015873,0.6103156844673989,2.0,-0.11111111111111112,0.43888888888888894,0.09999999999999999,0.0,5,2,8,30,-1.5,0.0
Thailand,2020-02-23,35,0,0.0,0.0,0.01,0.0,135.13,40.1,2.1,77.15,71697024.0,-5.0,0.0,-8.0,2.0,2.0,0.0,0.0,0.14285714285714285,0.0,0.2857142857142857,1.8571428571428572,1.5714285714285714,0.26530612244897955,0.09858079419176144,0.42857142857142855,0.6326530612244898,0.5395337417100039,1.8571428571428572,1.0711111111111111,0.6253774318437577,2.0,-0.11111111111111112,0.43888888888888894,0.11111111111111112,0.0,6,2,8,31,-2.75,0.0
Thailand,2020-02-24,35,0,0.0,0.0,0.01,0.0,135.13,40.1,2.1,77.15,71697024.0,-4.0,-1.0,-7.0,0.0,2.0,0.0,0.0,0.0,0.0,0.42857142857142855,1.8571428571428572,1.5714285714285714,0.2040816326530612,0.1123993989242029,0.2857142857142857,0.5,0.43312598186849127,1.1428571428571428,1.0488888888888888,0.651541935676682,2.0,-0.3,0.2,0.0,0.0,0,2,9,32,-3.0,0.0
Thailand,2020-02-25,37,0,0.01,0.0,0.01,0.0,135.13,40.1,2.1,77.15,71697024.0,-2.0,3.0,-7.0,-2.0,2.0,2.0,0.0,0.2857142857142857,0.0,0.2857142857142857,1.1428571428571428,1.5714285714285714,0.20408163265306123,0.1123993989242029,0.2857142857142857,0.4387755102040816,0.39408613245542606,1.1428571428571428,1.025079365079365,0.6662747303598606,2.0,0.0,0.39999999999999997,0.22222222222222224,0.0,1,2,9,33,-2.0,0.0
Thailand,2020-02-26,40,0,0.01,0.0,0.01,0.0,135.13,40.1,2.1,77.15,71697024.0,-3.0,0.0,-8.0,-1.0,2.0,3.0,0.0,0.7142857142857143,0.0,0.2857142857142857,1.1428571428571428,1.5714285714285714,0.26530612244897955,0.22479879784841084,0.7142857142857143,0.40816326530612246,0.3492856260012151,1.1428571428571428,1.0222222222222224,0.6674559406354481,2.0,0.33333333333333337,0.7333333333333334,0.5555555555555556,0.0,2,2,9,34,-3.0,0.0
