country,date,confirmed_cumulative,deaths_cumulative,new_tests_per_thousand,total_vaccinations_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,hospital_beds_per_thousand,life_expectancy,population,mob_retail,mob_grocery,mob_transit,mob_work,mob_residential,new_cases,new_deaths,new_cases_7d,new_deaths_7d,new_cases_7d_lag7,new_cases_7d_lag14,new_cases_7d_lag21,new_cases_7d_rmean7,new_cases_7d_rstd7,new_cases_7d_rmax7,new_cases_7d_rmean14,new_cases_7d_rstd14,new_cases_7d_rmax14,new_cases_7d_rmean30,new_cases_7d_rstd30,new_cases_7d_rmax30,growth_rate,growth_accel,r0_estimate,cfr,day_of_week,month,week_of_year,days_since_start,mob_composite,vax_lag14
Togo,2020-03-28,25,1,0.0,0.0,0.47,69.44,143.37,19.4,0.7,61.04,8848700.0,-30.0,-20.0,-34.0,-13.0,16.0,0.0,0.0,1.2857142857142858,0.14285714285714285,2.142857142857143,0.0,0.0,2.4489795918367347,0.6464374975893662,3.142857142857143,1.4591836734693877,1.2581646339980919,3.142857142857143,0.9285714285714285,1.2231568708904872,3.142857142857143,-0.2727272727272727,-2.4155844155844157,0.37500000000000006,3.8461538461538463,5,3,13,21,-24.25,0.0
Togo,2020-03-29,25,1,0.01,0.0,0.47,69.44,143.37,19.4,0.7,61.04,8848700.0,-37.0,-25.0,-41.0,-9.0,16.0,0.0,0.0,1.2857142857142858,0.14285714285714285,2.142857142857143,0.0,0.0,2.326530612244898,0.7812178078887401,3.142857142857143,1.5510204081632655,1.1884545891128926,3.142857142857143,0.9440993788819876,1.1973526227551015,3.142857142857143,-0.2727272727272727,-2.4155844155844157,0.34615384615384615,3.8461538461538463,6,3,13,22,-28.0,0.0
Togo,2020-03-30,30,1,0.01,0.0,0.47,69.44,143.37,19.4,0.7,61.04,8848700.0,-28.0,-18.0,-39.0,-21.0,16.0,5.0,0.0,1.7142857142857142,0.14285714285714285,2.4285714285714284,0.0,0.0,2.2244897959183674,0.8117217061776062,3.142857142857143,1.673469387755102,1.1014883201373353,3.142857142857143,0.9761904761904762,1.1815399593495688,3.142857142857143,-0.20833333333333331,-2.636904761904762,0.4137931034482759,3.225806451612903,0,3,14,23,-26.5,0.0
Togo,2020-03-31,34,1,0.01,0.0,0.47,69.44,143.37,19.4,0.7,61.04,8848700.0,-28.0,-19.0,-34.0,-22.0,16.0,4.0,0.0,2.0,0.14285714285714285,2.7142857142857144,0.0,0.0,2.122448979591837,0.7843215857377814,3.142857142857143,1.8163265306122447,0.9920066266625712,3.142857142857143,1.0171428571428571,1.1746471463240977,3.142857142857143,-0.19230769230769235,-2.906593406593407,0.48275862068965525,2.857142857142857,1,3,14,24,-25.75,0.0
Togo,2020-04-01,36,2,0.01,0.0,0.47,69.44,143.37,19.4,0.7,61.04,8848700.0,-33.0,-25.0,-36.0,-26.0,18.0,2.0,1.0,1.8571428571428572,0.2857142857142857,3.142857142857143,0.0,0.0,1.9387755102040816,0.6434237865483453,3.142857142857143,1.9489795918367345,0.8434941583412805,3.142857142857143,1.0494505494505495,1.1626446332268146,3.142857142857143,-0.3103448275862069,-3.4532019704433496,0.5652173913043479,5.405405405405405,2,4,14,25,-30.0,0.0
Togo,2020-04-02,39,2,0.01,0.0,0.47,73.15,143.37,19.4,0.7,61.04,8848700.0,-35.0,-22.0,-38.0,-25.0,20.0,3.0,0.0,2.2857142857142856,0.2857142857142857,3.142857142857143,0.0,0.0,1.8163265306122447,0.41824288840651513,2.2857142857142856,2.1122448979591835,0.6319056708526978,3.142857142857143,1.0952380952380951,1.164627806548727,3.142857142857143,-0.20689655172413798,-3.3497536945812807,1.0,5.0,3,4,14,26,-30.0,0.0
Togo,2020-04-03,40,3,0.03,0.0,0.47,73.15,143.37,19.4,0.7,61.04,8848700.0,-37.0,-25.0,-43.0,-24.0,20.0,1.0,1.0,2.142857142857143,0.2857142857142857,2.2857142857142856,1.1428571428571428,0.0,1.7959183673469388,0.3943231767670605,2.2857142857142856,2.183673469387755,0.5670950278184099,3.142857142857143,1.1326530612244898,1.159878907478258,3.142857142857143,-0.0434782608695652,-0.5768115942028985,0.9375,7.317073170731707,4,4,14,27,-32.25,0.0
Togo,2020-04-04,41,3,0.02,0.0,0.47,73.15,143.37,19.4,0.7,61.04,8848700.0,-45.0,-38.0,-51.0,-27.0,24.0,1.0,0.0,2.2857142857142856,0.2857142857142857,1.2857142857142858,2.142857142857143,0.0,1.9387755102040816,0.3581618117302917,2.2857142857142856,2.193877551020408,0.5675891422519753,3.142857142857143,1.1724137931034482,1.1589299065083518,3.142857142857143,0.43749999999999994,0.7102272727272727,0.8421052631578947,7.142857142857142,5,4,14,28,-40.25,0.0
Togo,2020-04-05,44,3,0.02,0.0,0.47,73.15,143.37,19.4,0.7,61.04,8848700.0,-42.0,-31.0,-53.0,-11.0,17.0,3.0,0.0,2.7142857142857144,0.2857142857142857,1.2857142857142858,2.142857142857143,0.0,2.142857142857143,0.32991443953693,2.7142857142857144,2.2346938775510203,0.5839484043602854,3.142857142857143,1.223809523809524,1.1730514610352447,3.142857142857143,0.625,0.8977272727272727,0.9047619047619048,6.666666666666667,6,4,14,29,-34.25,0.0
Togo,2020-04-06,58,3,0.02,0.0,0.47,73.15,143.37,19.4,0.7,61.04,8848700.0,-32.0,-17.0,-42.0,-22.0,18.0,14.0,0.0,4.0,0.2857142857142857,1.7142857142857142,2.4285714285714284,0.0,2.4693877551020407,0.7270960117489736,4.0,2.346938775510204,0.7511671414912641,4.0,1.3571428571428572,1.2537066787380755,4.0,0.8421052631578947,1.050438596491228,1.4,5.084745762711865,0,4,15,30,-28.25,0.0
