country,date,confirmed_cumulative,deaths_cumulative,new_tests_per_thousand,total_vaccinations_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,hospital_beds_per_thousand,life_expectancy,population,mob_retail,mob_grocery,mob_transit,mob_work,mob_residential,new_cases,new_deaths,new_cases_7d,new_deaths_7d,new_cases_7d_lag7,new_cases_7d_lag14,new_cases_7d_lag21,new_cases_7d_rmean7,new_cases_7d_rstd7,new_cases_7d_rmax7,new_cases_7d_rmean14,new_cases_7d_rstd14,new_cases_7d_rmax14,new_cases_7d_rmean30,new_cases_7d_rstd30,new_cases_7d_rmax30,growth_rate,growth_accel,r0_estimate,cfr,day_of_week,month,week_of_year,days_since_start,mob_composite,vax_lag14
Trinidad and Tobago,2020-04-05,104,7,0.73,0.0,0.01,79.63,266.89,36.2,3.0,73.51,1531043.0,-65.0,-41.0,-82.0,-41.0,15.0,1.0,1.0,3.7142857142857144,0.5714285714285714,4.0,6.857142857142857,0.0,4.224489795918367,0.27176849463181746,4.571428571428571,5.357142857142857,1.7592545160150395,8.142857142857142,4.290367965367965,2.5452701229000336,8.142857142857142,-0.05714285714285712,0.3064935064935065,0.7027027027027027,6.666666666666667,6,4,14,21,-57.25,0.0
Trinidad and Tobago,2020-04-06,105,8,0.73,0.0,0.01,79.63,266.89,36.2,3.0,73.51,1531043.0,-51.0,-21.0,-72.0,-64.0,26.0,1.0,1.0,3.2857142857142856,0.7142857142857143,4.428571428571429,6.714285714285714,1.0,4.061224489795919,0.4274361380246306,4.571428571428571,5.112244897959184,1.7940933712863094,8.142857142857142,4.246687370600414,2.495558282546099,8.142857142857142,-0.21052631578947376,0.08576998050682252,0.6216216216216216,7.547169811320755,0,4,15,22,-52.0,0.0
Trinidad and Tobago,2020-04-07,107,8,0.73,0.0,0.01,79.63,266.89,36.2,3.0,73.51,1531043.0,-67.0,-29.0,-74.0,-66.0,29.0,2.0,0.0,2.857142857142857,0.7142857142857143,4.285714285714286,7.428571428571429,1.0,3.857142857142857,0.6060915267313305,4.571428571428571,4.785714285714286,1.7556815150868295,8.142857142857142,4.188789682539682,2.4571300655258175,8.142857142857142,-0.27027027027027023,0.10261108566193322,0.5555555555555556,7.4074074074074066,1,4,15,23,-59.0,0.0
Trinidad and Tobago,2020-04-08,107,8,0.73,0.0,0.01,79.63,266.89,36.2,3.0,73.51,1531043.0,-66.0,-28.0,-73.0,-66.0,28.0,0.0,0.0,2.4285714285714284,0.42857142857142855,4.285714285714286,7.571428571428571,1.25,3.591836734693878,0.7712017807220933,4.571428571428571,4.418367346938775,1.6635951363696824,8.142857142857142,4.118380952380952,2.4310205437950834,8.142857142857142,-0.35135135135135137,0.03198198198198193,0.4358974358974359,7.4074074074074066,2,4,15,24,-58.25,0.0
Trinidad and Tobago,2020-04-09,109,8,0.73,0.0,0.01,79.63,266.89,36.2,3.0,73.51,1531043.0,-61.0,-17.0,-73.0,-65.0,27.0,2.0,0.0,2.142857142857143,0.42857142857142855,4.142857142857143,8.0,1.4,3.306122448979592,0.8937750383860529,4.571428571428571,3.9999999999999996,1.4108794589629932,8.142857142857142,4.042399267399268,2.4132074251395483,8.142857142857142,-0.38888888888888895,0.0396825396825396,0.41666666666666663,7.2727272727272725,3,4,15,25,-54.0,0.0
Trinidad and Tobago,2020-04-10,109,8,0.73,0.0,0.01,79.63,266.89,36.2,3.0,73.51,1531043.0,-84.0,-60.0,-87.0,-82.0,38.0,0.0,0.0,1.5714285714285714,0.2857142857142857,4.571428571428571,8.142857142857142,1.1666666666666667,2.877551020408163,0.9051198718994623,4.142857142857143,3.5306122448979593,0.9416718680910434,4.571428571428571,3.9508818342151675,2.4136535600261038,8.142857142857142,-0.5384615384615384,-0.14783653846153844,0.3333333333333333,7.2727272727272725,4,4,15,26,-78.25,0.0
Trinidad and Tobago,2020-04-11,112,8,0.73,0.0,0.01,79.63,266.89,36.2,3.0,73.51,1531043.0,-70.0,-32.0,-77.0,-53.0,22.0,3.0,0.0,1.2857142857142858,0.2857142857142857,4.142857142857143,3.5714285714285716,6.714285714285714,2.4693877551020407,0.8833851315102518,3.7142857142857144,3.3673469387755106,1.1160514126933594,4.571428571428571,3.855697278911564,2.4214951493681376,8.142857142857142,-0.5555555555555556,-0.6805555555555556,0.30000000000000004,7.079646017699115,5,4,15,27,-58.0,0.0
Trinidad and Tobago,2020-04-12,113,8,0.73,0.0,0.01,79.63,266.89,36.2,3.0,73.51,1531043.0,-71.0,-43.0,-83.0,-42.0,15.0,1.0,0.0,1.2857142857142858,0.14285714285714285,3.7142857142857144,4.0,6.857142857142857,2.1224489795918364,0.7843215857377905,3.2857142857142856,3.173469387755102,1.2278538300763644,4.571428571428571,3.767077175697865,2.42527838537861,8.142857142857142,-0.5151515151515151,-0.45800865800865803,0.33333333333333337,7.017543859649122,6,4,15,28,-59.75,0.0
Trinidad and Tobago,2020-04-13,113,8,0.73,0.0,0.01,79.63,266.89,36.2,3.0,73.51,1531043.0,-82.0,-66.0,-87.0,-84.0,34.0,0.0,0.0,1.1428571428571428,0.0,3.2857142857142856,4.428571428571429,6.714285714285714,1.8163265306122447,0.6635007431432315,2.857142857142857,2.938775510204082,1.282308414073881,4.571428571428571,3.6796031746031743,2.4307816726249283,8.142857142857142,-0.5,-0.2894736842105262,0.3333333333333333,7.017543859649122,0,4,16,29,-79.75,0.0
Trinidad and Tobago,2020-04-14,113,8,0.73,0.0,0.01,79.63,266.89,36.2,3.0,73.51,1531043.0,-62.0,-24.0,-72.0,-63.0,27.0,0.0,0.0,0.8571428571428571,0.0,2.857142857142857,4.285714285714286,7.428571428571429,1.530612244897959,0.5637235639564712,2.4285714285714284,2.693877551020408,1.3317251271595607,4.571428571428571,3.7081746031746032,2.390747968258831,8.142857142857142,-0.5185185185185185,-0.24824824824824826,0.2727272727272727,7.017543859649122,1,4,16,30,-55.25,0.0
Trinidad and Tobago,2020-04-15,114,8,0.73,0.0,0.01,79.63,266.89,36.2,3.0,73.51,1531043.0,-63.0,-25.0,-73.0,-64.0,28.0,1.0,0.0,1.0,0.0,2.4285714285714284,4.285714285714286,7.571428571428571,1.3265306122448979,0.4262978240515423,2.142857142857143,2.4591836734693877,1.3190769945363865,4.571428571428571,3.7081746031746032,2.390747968258831,8.142857142857142,-0.41666666666666663,-0.06531531531531526,0.38888888888888895,6.956521739130435,2,4,16,31,-56.25,0.0
Trinidad and Tobago,2020-04-16,114,8,0.73,0.0,0.01,79.63,266.89,36.2,3.0,73.51,1531043.0,-63.0,-25.0,-74.0,-63.0,28.0,0.0,0.0,0.7142857142857143,0.0,2.142857142857143,4.142857142857143,8.0,1.1224489795918366,0.2907715683423847,1.5714285714285714,2.2142857142857144,1.30058554618731,4.571428571428571,3.6986507936507933,2.4024487471197125,8.142857142857142,-0.4545454545454545,-0.06565656565656552,0.3125,6.956521739130435,3,4,16,32,-56.25,0.0
Trinidad and Tobago,2020-04-17,114,8,0.73,0.0,0.01,79.63,266.89,36.2,3.0,73.51,1531043.0,-65.0,-24.0,-76.0,-61.0,30.0,0.0,0.0,0.7142857142857143,0.0,1.5714285714285714,4.571428571428571,8.142857142857142,1.0,0.24743582965274272,1.2857142857142858,1.9387755102040816,1.1642426146061469,4.142857142857143,3.680793650793651,2.4231784298564936,8.142857142857142,-0.33333333333333337,0.20512820512820507,0.3125,6.956521739130435,4,4,16,33,-56.5,0.0
Trinidad and Tobago,2020-04-18,114,8,0.73,0.0,0.01,79.63,266.89,36.2,3.0,73.51,1531043.0,-70.0,-33.0,-80.0,-48.0,21.0,0.0,0.0,0.2857142857142857,0.0,1.2857142857142858,4.142857142857143,3.5714285714285716,0.8571428571428571,0.32991443953696503,1.2857142857142858,1.6632653061224492,1.0536728658296666,3.7142857142857144,3.643650793650793,2.467479335394144,8.142857142857142,-0.4375,0.11805555555555558,0.13333333333333333,6.956521739130435,5,4,16,34,-57.75,0.0
Trinidad and Tobago,2020-04-19,114,8,0.73,0.0,0.01,79.63,266.89,36.2,3.0,73.51,1531043.0,-71.0,-44.0,-85.0,-38.0,15.0,0.0,0.0,0.14285714285714285,0.0,1.2857142857142858,3.7142857142857144,4.0,0.6938775510204082,0.363548005874521,1.1428571428571428,1.4081632653061225,0.9457118668956592,3.2857142857142856,3.6095238095238096,2.509638936360852,8.142857142857142,-0.5000000000000001,0.015151515151515027,0.07692307692307691,6.956521739130435,6,4,16,35,-59.5,0.0
Trinidad and Tobago,2020-04-20,114,8,0.73,0.0,0.01,79.63,266.89,36.2,3.0,73.51,1531043.0,-64.0,-32.0,-75.0,-62.0,26.0,0.0,0.0,0.14285714285714285,0.0,1.1428571428571428,3.2857142857142856,4.428571428571429,0.5510204081632653,0.35406839944692375,1.0,1.1836734693877553,0.8319155166105007,2.857142857142857,3.3904761904761904,2.5160801180041563,8.142857142857142,-0.4666666666666667,0.033333333333333326,0.07142857142857142,6.956521739130435,0,4,17,36,-58.25,0.0
Trinidad and Tobago,2020-04-21,115,8,0.73,0.0,0.01,79.63,266.89,36.2,3.0,73.51,1531043.0,-68.0,-31.0,-76.0,-62.0,27.0,1.0,0.0,0.2857142857142857,0.0,0.8571428571428571,2.857142857142857,4.285714285714286,0.4693877551020408,0.3371981967726578,1.0,1.0,0.7087699119383427,2.4285714285714284,3.1714285714285717,2.489782074464575,8.142857142857142,-0.30769230769230765,0.21082621082621084,0.16666666666666666,6.896551724137931,1,4,17,37,-59.25,0.0
Trinidad and Tobago,2020-04-22,115,8,0.73,0.0,0.01,79.63,266.89,36.2,3.0,73.51,1531043.0,-68.0,-32.0,-75.0,-62.0,28.0,0.0,0.0,0.14285714285714285,0.0,1.0,2.4285714285714284,4.285714285714286,0.3469387755102041,0.258950562050043,0.7142857142857143,0.8367346938775511,0.6108828386569805,2.142857142857143,2.952380952380952,2.456184179269929,8.142857142857142,-0.4285714285714286,-0.011904761904761973,0.08333333333333333,6.896551724137931,2,4,17,38,-59.25,0.0
