country,date,confirmed_cumulative,deaths_cumulative,new_tests_per_thousand,total_vaccinations_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,hospital_beds_per_thousand,life_expectancy,population,mob_retail,mob_grocery,mob_transit,mob_work,mob_residential,new_cases,new_deaths,new_cases_7d,new_deaths_7d,new_cases_7d_lag7,new_cases_7d_lag14,new_cases_7d_lag21,new_cases_7d_rmean7,new_cases_7d_rstd7,new_cases_7d_rmax7,new_cases_7d_rmean14,new_cases_7d_rstd14,new_cases_7d_rmax14,new_cases_7d_rmean30,new_cases_7d_rstd30,new_cases_7d_rmax30,growth_rate,growth_accel,r0_estimate,cfr,day_of_week,month,week_of_year,days_since_start,mob_composite,vax_lag14
Uganda,2020-04-12,54,0,0.01,0.0,0.0,93.52,213.76,16.4,0.5,63.37,47249588.0,-67.0,-56.0,-71.0,-30.0,25.0,1.0,0.0,0.2857142857142857,0.0,2.7142857142857144,4.571428571428571,0.0,1.1428571428571428,0.7737179432986687,2.7142857142857144,2.4285714285714284,1.5598977545690533,5.0,2.677164502164502,1.519159333655906,5.0,-0.6538461538461539,-0.3205128205128206,0.13333333333333333,0.0,6,4,15,21,-56.0,0.0
Uganda,2020-04-13,54,0,0.01,0.0,0.0,93.52,213.76,16.4,0.5,63.37,47249588.0,-73.0,-64.0,-74.0,-67.0,37.0,0.0,0.0,0.2857142857142857,0.0,2.7142857142857144,3.4285714285714284,4.0,0.7959183673469388,0.411213095502255,1.2857142857142858,2.2040816326530615,1.6295103190203104,5.0,2.5731884057971017,1.5657575451069754,5.0,-0.6538461538461539,-0.4925558312655088,0.125,0.0,0,4,16,22,-69.5,0.0
Uganda,2020-04-14,55,0,0.02,0.0,0.0,93.52,213.76,16.4,0.5,63.37,47249588.0,-69.0,-58.0,-72.0,-59.0,32.0,1.0,0.0,0.42857142857142855,0.0,1.1428571428571428,5.0,2.6666666666666665,0.6938775510204083,0.39922178914616874,1.2857142857142858,1.8775510204081631,1.4770426803631167,4.428571428571429,2.483829365079365,1.592685293902695,5.0,-0.3333333333333333,0.3095238095238096,0.19999999999999998,0.0,1,4,16,23,-64.5,0.0
Uganda,2020-04-15,55,0,0.02,0.0,0.0,93.52,213.76,16.4,0.5,63.37,47249588.0,-67.0,-54.0,-70.0,-58.0,31.0,0.0,0.0,0.2857142857142857,0.0,1.2857142857142858,4.285714285714286,3.25,0.5510204081632653,0.32396954829364055,1.1428571428571428,1.5918367346938778,1.3574113590461936,4.428571428571429,2.3959047619047618,1.6199448260996279,5.0,-0.4375,0.13006756756756754,0.16666666666666666,0.0,2,4,16,24,-62.25,0.0
Uganda,2020-04-16,55,0,0.02,0.0,0.0,93.52,213.76,16.4,0.5,63.37,47249588.0,-66.0,-53.0,-70.0,-57.0,30.0,0.0,0.0,0.2857142857142857,0.0,1.1428571428571428,4.428571428571429,2.6,0.42857142857142855,0.202030508910471,0.7142857142857143,1.2959183673469388,1.1227129702402272,3.5714285714285716,2.31474358974359,1.6402798305635646,5.0,-0.39999999999999997,0.20526315789473687,0.16666666666666666,0.0,3,4,16,25,-61.5,0.0
Uganda,2020-04-17,56,0,0.02,0.0,0.0,93.52,213.76,16.4,0.5,63.37,47249588.0,-68.0,-55.0,-70.0,-55.0,32.0,1.0,0.0,0.42857142857142855,0.0,0.7142857142857143,3.5714285714285716,3.6666666666666665,0.38775510204081637,0.15895675436123335,0.7142857142857143,1.0714285714285714,0.9304714289341661,2.7142857142857144,2.2448853615520283,1.6488787430364966,5.0,-0.16666666666666669,0.4583333333333333,0.33333333333333337,0.0,4,4,16,26,-62.0,0.0
Uganda,2020-04-18,55,0,0.02,0.0,0.0,93.52,213.76,16.4,0.5,63.37,47249588.0,-72.0,-60.0,-76.0,-49.0,30.0,0.0,0.0,0.42857142857142855,0.0,0.7142857142857143,2.5714285714285716,4.142857142857143,0.3469387755102041,0.07636035483219956,0.42857142857142855,0.9183673469387755,0.836217629418152,2.7142857142857144,2.180017006802721,1.654063501924621,5.0,-0.16666666666666669,0.35333333333333333,0.33333333333333337,0.0,5,4,16,27,-64.25,0.0
Uganda,2020-04-19,55,0,0.03,0.0,0.0,93.52,213.76,16.4,0.5,63.37,47249588.0,-67.0,-59.0,-75.0,-27.0,24.0,0.0,0.0,0.2857142857142857,0.0,0.2857142857142857,2.7142857142857144,4.571428571428571,0.3469387755102041,0.07636035483219956,0.42857142857142855,0.7448979591836734,0.6704776324850056,2.7142857142857144,2.114696223316913,1.6619120798044542,5.0,0.0,0.6538461538461539,0.19999999999999998,0.0,6,4,16,28,-57.0,0.0
Uganda,2020-04-20,56,0,0.03,0.0,0.0,93.52,213.76,16.4,0.5,63.37,47249588.0,-69.0,-59.0,-75.0,-56.0,32.0,1.0,0.0,0.42857142857142855,0.0,0.2857142857142857,2.7142857142857144,3.4285714285714284,0.36734693877551017,0.07636035483219904,0.42857142857142855,0.5816326530612245,0.3608131654890315,1.2857142857142858,2.0584920634920634,1.661769921665431,5.0,0.11111111111111112,0.764957264957265,0.33333333333333337,0.0,0,4,17,29,-64.75,0.0
Uganda,2020-04-21,61,0,0.02,0.0,0.0,93.52,213.76,16.4,0.5,63.37,47249588.0,-67.0,-55.0,-73.0,-55.0,30.0,5.0,0.0,1.0,0.0,0.42857142857142855,1.1428571428571428,5.0,0.4489795918367347,0.25325864583657093,1.0,0.5714285714285714,0.3454117284725552,1.2857142857142858,2.091825396825397,1.6287564692087217,5.0,0.39999999999999997,0.7333333333333333,0.7777777777777779,0.0,1,4,17,30,-62.5,0.0
