country,date,confirmed_cumulative,deaths_cumulative,new_tests_per_thousand,total_vaccinations_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,hospital_beds_per_thousand,life_expectancy,population,mob_retail,mob_grocery,mob_transit,mob_work,mob_residential,new_cases,new_deaths,new_cases_7d,new_deaths_7d,new_cases_7d_lag7,new_cases_7d_lag14,new_cases_7d_lag21,new_cases_7d_rmean7,new_cases_7d_rstd7,new_cases_7d_rmax7,new_cases_7d_rmean14,new_cases_7d_rstd14,new_cases_7d_rmax14,new_cases_7d_rmean30,new_cases_7d_rstd30,new_cases_7d_rmax30,growth_rate,growth_accel,r0_estimate,cfr,day_of_week,month,week_of_year,days_since_start,mob_composite,vax_lag14
Ukraine,2020-03-14,3,1,0.07,0.0,0.0,50.0,77.39,41.4,8.8,72.06,39701744.0,-10.0,4.0,-2.0,1.0,1.0,0.0,0.0,0.2857142857142857,0.14285714285714285,0.0,0.0,0.0,0.12244897959183673,0.1527207096642425,0.2857142857142857,0.061224489795918366,0.12166151817894859,0.2857142857142857,0.03896103896103896,0.10035716761631554,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,25.0,5,3,11,11,-1.75,0.0
Ukraine,2020-03-14,3,1,0.07,0.0,0.0,50.0,77.39,41.4,8.8,72.06,39701744.0,-19.0,0.0,-9.0,-3.0,2.0,0.0,0.0,0.2857142857142857,0.14285714285714285,0.0,0.0,0.0,0.16326530612244897,0.1527207096642425,0.2857142857142857,0.08163265306122448,0.13394492312528442,0.2857142857142857,0.049689440993788817,0.11072953939473995,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,25.0,5,3,11,11,-7.75,0.0
Ukraine,2020-03-15,3,1,0.07,0.0,0.0,50.0,77.39,41.4,8.8,72.06,39701744.0,-18.0,-1.0,-12.0,2.0,2.0,0.0,0.0,0.2857142857142857,0.14285714285714285,0.0,0.0,0.0,0.2040816326530612,0.13941429613550474,0.2857142857142857,0.1020408163265306,0.1420700451710991,0.2857142857142857,0.059523809523809514,0.11852889057115812,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,25.0,6,3,11,12,-7.25,0.0
Ukraine,2020-03-15,3,1,0.07,0.0,0.0,50.0,77.39,41.4,8.8,72.06,39701744.0,-24.0,-1.0,-15.0,-1.0,2.0,0.0,0.0,0.2857142857142857,0.14285714285714285,0.0,0.0,0.0,0.24489795918367346,0.10798984943120779,0.2857142857142857,0.12244897959183673,0.14672931171802728,0.2857142857142857,0.06857142857142856,0.1245399698154478,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.22222222222222224,25.0,6,3,11,12,-10.25,0.0
Ukraine,2020-03-16,7,1,0.07,0.0,0.0,64.81,77.39,41.4,8.8,72.06,39701744.0,-6.0,9.0,-6.0,-14.0,4.0,4.0,0.0,0.8571428571428571,0.14285714285714285,0.0,0.0,0.0,0.36734693877551017,0.21597969886241555,0.8571428571428571,0.18367346938775508,0.24054211032602724,0.8571428571428571,0.0989010989010989,0.1969946887059038,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.6666666666666667,12.5,0,3,12,13,-4.25,0.0
Ukraine,2020-03-16,7,1,0.07,0.0,0.0,64.81,77.39,41.4,8.8,72.06,39701744.0,-8.0,13.0,-9.0,-18.0,5.0,0.0,0.0,0.5714285714285714,0.0,0.2857142857142857,0.0,0.0,0.40816326530612246,0.22479879784841234,0.8571428571428571,0.22448979591836735,0.2550235358011374,0.8571428571428571,0.1164021164021164,0.2135042050734495,0.8571428571428571,0.22222222222222224,-0.06349206349206346,0.4444444444444445,12.5,0,3,12,13,-5.5,0.0
Ukraine,2020-03-17,14,2,0.07,0.0,0.0,77.78,77.39,41.4,8.8,72.06,39701744.0,-23.0,4.0,-14.0,-22.0,6.0,7.0,1.0,1.5714285714285714,0.14285714285714285,0.2857142857142857,0.0,0.0,0.5918367346938774,0.4839503785532629,1.5714285714285714,0.33673469387755095,0.4326078884033077,1.5714285714285714,0.16836734693877548,0.3456971691695477,1.5714285714285714,1.0,0.7142857142857143,1.2222222222222223,13.333333333333334,1,3,12,14,-13.75,0.0
Ukraine,2020-03-17,14,2,0.07,0.0,0.0,77.78,77.39,41.4,8.8,72.06,39701744.0,-33.0,5.0,-22.0,-31.0,11.0,0.0,0.0,1.5714285714285714,0.14285714285714285,0.2857142857142857,0.0,0.0,0.7755102040816325,0.5823780877775372,1.5714285714285714,0.4489795918367347,0.5311553795529873,1.5714285714285714,0.2167487684729064,0.4279258567274668,1.5714285714285714,1.0,0.7142857142857143,1.2222222222222223,13.333333333333334,1,3,12,14,-20.25,0.0
Ukraine,2020-03-18,14,2,0.07,0.0,0.0,88.89,77.39,41.4,8.8,72.06,39701744.0,-33.0,-4.0,-24.0,-32.0,9.0,0.0,0.0,1.5714285714285714,0.14285714285714285,0.2857142857142857,0.0,0.0,0.9591836734693876,0.6044859834428045,1.5714285714285714,0.5612244897959183,0.5915795467817001,1.5714285714285714,0.2619047619047619,0.4878298369314959,1.5714285714285714,1.0,0.7142857142857143,1.2222222222222223,13.333333333333334,2,3,12,15,-23.25,0.0
Ukraine,2020-03-18,14,2,0.07,0.0,0.0,88.89,77.39,41.4,8.8,72.06,39701744.0,-42.0,-5.0,-37.0,-45.0,16.0,0.0,0.0,1.5714285714285714,0.14285714285714285,0.2857142857142857,0.0,0.0,1.1428571428571428,0.5593971487843207,1.5714285714285714,0.673469387755102,0.6250364420862674,1.5714285714285714,0.3142857142857143,0.5402842841233256,1.5714285714285714,1.0,0.7142857142857143,0.8461538461538461,13.333333333333334,2,3,12,15,-32.25,0.0
