country,date,confirmed_cumulative,deaths_cumulative,new_tests_per_thousand,total_vaccinations_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,hospital_beds_per_thousand,life_expectancy,population,mob_retail,mob_grocery,mob_transit,mob_work,mob_residential,new_cases,new_deaths,new_cases_7d,new_deaths_7d,new_cases_7d_lag7,new_cases_7d_lag14,new_cases_7d_lag21,new_cases_7d_rmean7,new_cases_7d_rstd7,new_cases_7d_rmax7,new_cases_7d_rmean14,new_cases_7d_rstd14,new_cases_7d_rmax14,new_cases_7d_rmean30,new_cases_7d_rstd30,new_cases_7d_rmax30,growth_rate,growth_accel,r0_estimate,cfr,day_of_week,month,week_of_year,days_since_start,mob_composite,vax_lag14
United Kingdom,2020-02-22,23,3,0.18,3.97,0.58,11.11,272.9,40.8,2.54,81.32,67508936.0,-4.0,-2.0,-2.0,-2.0,1.0,0.0,1.0,0.7142857142857143,0.14285714285714285,0.7142857142857143,1.5714285714285714,0.0,0.6530612244897959,0.07636035483212048,0.7142857142857143,0.8775510204081634,0.32603966231718223,1.7142857142857142,0.9510822510822511,0.5025411761956662,2.0,0.0,0.33333333333333337,0.41666666666666663,12.5,5,2,8,21,-2.5,3.97
United Kingdom,2020-02-23,28,3,0.18,3.97,0.58,11.11,272.9,40.8,2.54,81.32,67508936.0,-1.0,-2.0,3.0,-1.0,0.0,5.0,0.0,1.4285714285714286,0.14285714285714285,0.5714285714285714,1.7142857142857142,0.0,0.7755102040816327,0.29574238257529467,1.4285714285714286,0.8571428571428571,0.2745054065230065,1.4285714285714286,0.9718426501035197,0.5009801011281819,2.0,0.5454545454545455,0.9665071770334929,0.9090909090909092,10.344827586206897,6,2,8,22,-0.25,3.97
United Kingdom,2020-02-24,30,3,0.18,3.97,0.58,11.11,272.9,40.8,2.54,81.32,67508936.0,-3.0,-1.0,-2.0,-2.0,1.0,2.0,0.0,1.5714285714285714,0.14285714285714285,0.7142857142857143,0.8571428571428571,2.0,0.8979591836734694,0.41824288840651436,1.5714285714285714,0.9081632653061226,0.334359637065253,1.5714285714285714,0.9968253968253968,0.5050229151848552,2.0,0.49999999999999994,0.5769230769230769,1.0,9.67741935483871,0,2,9,23,-2.0,3.97
United Kingdom,2020-02-25,34,3,0.18,3.97,0.58,11.11,272.9,40.8,2.54,81.32,67508936.0,-1.0,4.0,1.0,1.0,0.0,4.0,0.0,2.142857142857143,0.14285714285714285,0.5714285714285714,1.0,1.5,1.1224489795918366,0.5972076259507103,2.142857142857143,0.9897959183673469,0.47035937933429334,2.142857142857143,1.0426666666666666,0.5449373260682403,2.142857142857143,1.0,1.2142857142857144,1.2499999999999998,8.571428571428571,1,2,9,24,1.25,3.97
United Kingdom,2020-02-26,37,3,0.18,3.97,0.58,11.11,272.9,40.8,2.54,81.32,67508936.0,1.0,0.0,-1.0,1.0,0.0,3.0,0.0,2.4285714285714284,0.14285714285714285,0.5714285714285714,1.0,1.4,1.3877551020408163,0.7129238718376303,2.4285714285714284,1.0918367346938775,0.6076620736756639,2.4285714285714284,1.0959706959706959,0.5991266392090012,2.4285714285714284,1.1818181818181817,1.396103896103896,1.4166666666666665,7.894736842105263,2,2,9,25,0.25,3.97
United Kingdom,2020-02-27,44,3,0.18,3.97,0.58,11.11,272.9,40.8,2.54,81.32,67508936.0,2.0,1.0,0.0,0.0,0.0,7.0,0.0,3.142857142857143,0.14285714285714285,0.7142857142857143,1.1428571428571428,1.1666666666666667,1.7346938775510203,0.8975725822073771,3.142857142857143,1.2346938775510203,0.8189420422870305,3.142857142857143,1.1717813051146384,0.707334831584984,3.142857142857143,1.4166666666666665,1.6166666666666665,1.8333333333333333,6.666666666666667,3,2,9,26,0.75,3.97
United Kingdom,2020-02-28,56,3,0.18,3.97,0.58,11.11,272.9,40.8,2.54,81.32,67508936.0,1.0,1.0,0.0,-1.0,1.0,12.0,0.0,4.714285714285714,0.14285714285714285,0.7142857142857143,1.2857142857142858,1.0,2.306122448979592,1.315601234553096,4.714285714285714,1.4795918367346939,1.239850022399647,4.714285714285714,1.2982993197278911,0.9643561184790759,4.714285714285714,2.333333333333333,2.583333333333333,1.941176470588235,5.263157894736842,4,2,9,27,0.25,3.97
United Kingdom,2020-02-29,61,3,0.18,3.97,0.58,11.11,272.9,40.8,2.54,81.32,67508936.0,1.0,1.0,-2.0,0.0,0.0,5.0,0.0,5.428571428571429,0.0,0.7142857142857143,0.7142857142857143,1.5714285714285714,2.979591836734694,1.5505727961346198,5.428571428571429,1.8163265306122447,1.6030079373432524,5.428571428571429,1.4407224958949096,1.2186121313757492,5.428571428571429,2.75,2.75,2.1111111111111116,4.838709677419355,5,2,9,28,0.0,3.97
United Kingdom,2020-03-01,94,3,0.18,3.97,0.58,11.11,272.9,40.8,2.54,81.32,67508936.0,7.0,2.0,5.0,1.0,-1.0,33.0,0.0,9.428571428571429,0.0,1.4285714285714286,0.5714285714285714,1.7142857142857142,4.122448979591836,2.722329648885522,9.428571428571429,2.448979591836735,2.544953539380404,9.428571428571429,1.706984126984127,1.8869726496397452,9.428571428571429,3.2941176470588234,2.748663101604278,3.0,3.1578947368421053,6,3,9,29,3.75,3.97
United Kingdom,2020-03-02,134,4,0.18,3.97,0.58,11.11,272.9,40.8,2.54,81.32,67508936.0,4.0,4.0,0.0,1.0,0.0,40.0,1.0,14.857142857142858,0.14285714285714285,1.5714285714285714,0.7142857142857143,0.8571428571428571,6.020408163265307,4.61838132511164,14.857142857142858,3.4591836734693877,4.121840808769422,14.857142857142858,2.2022222222222223,3.0281117612699875,14.857142857142858,5.166666666666668,4.666666666666668,4.333333333333334,2.9629629629629632,0,3,10,30,2.25,3.97
United Kingdom,2020-03-03,189,4,0.18,3.97,0.58,11.11,272.9,40.8,2.54,81.32,67508936.0,2.0,3.0,-1.0,1.0,0.0,55.0,0.0,22.142857142857142,0.14285714285714285,2.142857142857143,0.5714285714285714,1.0,8.877551020408163,7.254099742279718,22.142857142857142,5.0,6.375236628723164,22.142857142857142,2.94031746031746,4.706378522925349,22.142857142857142,6.363636363636364,5.363636363636364,5.344827586206897,2.1052631578947367,1,3,10,31,1.25,3.97
United Kingdom,2020-03-04,246,5,0.18,3.97,0.58,11.11,272.9,40.8,2.54,81.32,67508936.0,2.0,3.0,-2.0,1.0,1.0,57.0,1.0,29.857142857142858,0.2857142857142857,2.4285714285714284,0.5714285714285714,1.0,12.795918367346939,10.05659398625948,29.857142857142858,7.091836734693878,9.052716209967118,29.857142857142858,3.868888888888889,6.797854404931542,29.857142857142858,8.000000000000002,6.81818181818182,5.225,2.0242914979757085,2,3,10,32,1.0,3.97
United Kingdom,2020-03-05,295,7,0.18,3.97,0.58,11.11,272.9,40.8,2.54,81.32,67508936.0,-1.0,2.0,-3.0,0.0,1.0,49.0,2.0,35.857142857142854,0.5714285714285714,3.142857142857143,0.7142857142857143,1.1428571428571428,17.46938775510204,12.196719277219922,35.857142857142854,9.60204081632653,11.648458650022448,35.857142857142854,5.014126984126984,8.941194009856357,35.857142857142854,7.896551724137931,6.4798850574712645,5.5777777777777775,2.364864864864865,3,3,10,33,-0.5,3.97
