country,date,confirmed_cumulative,deaths_cumulative,new_tests_per_thousand,total_vaccinations_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,hospital_beds_per_thousand,life_expectancy,population,mob_retail,mob_grocery,mob_transit,mob_work,mob_residential,new_cases,new_deaths,new_cases_7d,new_deaths_7d,new_cases_7d_lag7,new_cases_7d_lag14,new_cases_7d_lag21,new_cases_7d_rmean7,new_cases_7d_rstd7,new_cases_7d_rmax7,new_cases_7d_rmean14,new_cases_7d_rstd14,new_cases_7d_rmax14,new_cases_7d_rmean30,new_cases_7d_rstd30,new_cases_7d_rmax30,growth_rate,growth_accel,r0_estimate,cfr,day_of_week,month,week_of_year,days_since_start,mob_composite,vax_lag14
Uruguay,2020-03-24,189,0,0.06,0.01,0.0,57.41,19.75,35.6,2.8,77.91,3422796.0,-62.0,-39.0,-56.0,-38.0,19.0,27.0,0.0,11.285714285714286,0.0,8.571428571428571,6.571428571428571,0.0,9.857142857142858,1.788093652906528,12.142857142857142,9.826530612244897,1.8218786958816156,12.285714285714286,7.061255411255411,4.222587310214728,12.285714285714286,0.2835820895522389,0.01943114615601249,1.253968253968254,0.0,1,3,13,11,-48.75,0.01
Uruguay,2020-03-24,189,0,0.06,0.01,0.0,57.41,19.75,35.6,2.8,77.91,3422796.0,-63.0,-38.0,-54.0,-42.0,21.0,0.0,0.0,7.714285714285714,0.0,12.142857142857142,6.285714285714286,1.0,9.224489795918368,1.6201476855020636,11.285714285714286,9.928571428571429,1.6391501416323015,12.285714285714286,7.089648033126294,4.12774989758523,12.285714285714286,-0.3369565217391304,-1.1408780903665812,0.627906976744186,0.0,1,3,13,11,-49.25,0.01
Uruguay,2020-03-25,217,0,0.09,0.01,0.0,57.41,19.75,35.6,2.8,77.91,3422796.0,-62.0,-37.0,-57.0,-40.0,20.0,28.0,0.0,11.714285714285714,0.0,8.0,10.428571428571429,0.6666666666666666,9.755102040816325,1.7549042761542621,11.714285714285714,10.020408163265305,1.704051081236582,12.285714285714286,7.282341269841269,4.145920782255158,12.285714285714286,0.4126984126984126,0.6251984126984127,1.1549295774647887,0.0,2,3,13,12,-49.0,0.01
Uruguay,2020-03-25,217,0,0.09,0.01,0.0,57.41,19.75,35.6,2.8,77.91,3422796.0,-63.0,-37.0,-55.0,-44.0,22.0,0.0,0.0,8.428571428571429,0.0,11.285714285714286,10.142857142857142,1.0,9.346938775510205,1.6697735861367975,11.714285714285714,9.897959183673468,1.7553940832561912,12.285714285714286,7.328190476190477,4.065097630472839,12.285714285714286,-0.23255813953488375,-0.33512224209898644,0.7866666666666667,0.0,2,3,13,12,-49.75,0.01
Uruguay,2020-03-26,238,0,0.07,0.01,0.0,57.41,19.75,35.6,2.8,77.91,3422796.0,-65.0,-41.0,-58.0,-41.0,21.0,21.0,0.0,11.428571428571429,0.0,9.142857142857142,12.285714285714286,0.8,9.673469387755102,1.8382080258653186,11.714285714285714,9.83673469387755,1.678993066387383,12.142857142857142,7.485897435897436,4.063333189526203,12.285714285714286,0.22535211267605643,0.46191125246100273,1.3559322033898304,0.0,3,3,13,13,-51.25,0.01
Uruguay,2020-03-26,238,0,0.07,0.01,0.0,57.41,19.75,35.6,2.8,77.91,3422796.0,-65.0,-41.0,-56.0,-45.0,23.0,0.0,0.0,10.857142857142858,0.0,9.714285714285714,9.285714285714286,4.166666666666667,9.83673469387755,1.8923918052063209,11.714285714285714,9.948979591836736,1.6918004703795877,12.142857142857142,7.610758377425044,4.036903202096306,12.285714285714286,0.1066666666666668,0.06500000000000028,0.8837209302325582,0.0,3,3,13,13,-51.75,0.01
Uruguay,2020-03-27,274,0,0.13,0.01,0.0,62.96,19.75,35.6,2.8,77.91,3422796.0,-63.0,-38.0,-58.0,-39.0,22.0,36.0,0.0,16.0,0.0,7.428571428571429,11.571428571428571,3.5714285714285716,11.061224489795919,2.682593352386132,16.0,10.26530612244898,2.316995525767682,16.0,7.910374149659864,4.266914489049402,16.0,1.0169491525423728,1.3464946070878274,1.8360655737704916,0.0,4,3,13,14,-49.5,0.01
Uruguay,2020-03-27,274,0,0.13,0.01,0.0,62.96,19.75,35.6,2.8,77.91,3422796.0,-64.0,-36.0,-56.0,-43.0,24.0,0.0,0.0,12.142857142857142,0.0,11.285714285714286,8.571428571428571,6.571428571428571,11.183673469387754,2.71392765271641,16.0,10.520408163265307,2.312757019774994,16.0,8.056321839080459,4.263102873618612,16.0,0.069767441860465,-0.21381464769177388,0.9550561797752809,0.0,4,3,13,14,-49.75,0.01
Uruguay,2020-03-28,303,1,0.11,0.01,0.0,62.96,19.75,35.6,2.8,77.91,3422796.0,-68.0,-41.0,-64.0,-34.0,20.0,29.0,1.0,16.285714285714285,0.14285714285714285,7.714285714285714,12.142857142857142,6.285714285714286,12.408163265306124,2.8193073055606317,16.285714285714285,10.816326530612244,2.7584200033721067,16.285714285714285,8.33063492063492,4.450256719247058,16.285714285714285,0.9836065573770488,1.3205630791161793,1.727272727272727,0.3289473684210526,5,3,13,15,-51.75,0.01
Uruguay,2020-03-28,303,1,0.11,0.01,0.0,62.96,19.75,35.6,2.8,77.91,3422796.0,-68.0,-37.0,-60.0,-35.0,20.0,0.0,0.0,12.285714285714286,0.14285714285714285,11.714285714285714,8.0,10.428571428571429,12.489795918367346,2.8040994563197885,16.285714285714285,11.122448979591836,2.65780279105892,16.285714285714285,8.74015873015873,4.216350126284139,16.285714285714285,0.044943820224719225,-0.3677545924736934,0.9885057471264368,0.3289473684210526,5,3,13,15,-50.0,0.01
