country,date,confirmed_cumulative,deaths_cumulative,new_tests_per_thousand,total_vaccinations_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,hospital_beds_per_thousand,life_expectancy,population,mob_retail,mob_grocery,mob_transit,mob_work,mob_residential,new_cases,new_deaths,new_cases_7d,new_deaths_7d,new_cases_7d_lag7,new_cases_7d_lag14,new_cases_7d_lag21,new_cases_7d_rmean7,new_cases_7d_rstd7,new_cases_7d_rmax7,new_cases_7d_rmean14,new_cases_7d_rstd14,new_cases_7d_rmax14,new_cases_7d_rmean30,new_cases_7d_rstd30,new_cases_7d_rmax30,growth_rate,growth_accel,r0_estimate,cfr,day_of_week,month,week_of_year,days_since_start,mob_composite,vax_lag14
Vietnam,2020-02-14,16,0,7.37,0.0,0.01,45.37,308.13,32.6,2.6,75.4,98186856.0,,,,,,0.0,0.0,0.8571428571428571,0.0,1.1428571428571428,0.0,0.0,0.9387755102040816,0.07636035483212136,1.0,0.8979591836734694,0.17205536902757015,1.1428571428571428,0.5714285714285714,0.46238491069296406,1.1428571428571428,-0.13333333333333333,-1.276190476190476,0.42857142857142855,0.0,4,2,7,21,,0.0
Vietnam,2020-02-15,16,0,7.37,0.0,0.01,47.22,308.13,32.6,2.6,75.4,98186856.0,-6.0,-4.0,-9.0,-4.0,7.0,0.0,0.0,0.42857142857142855,0.0,1.0,0.5714285714285714,0.0,0.857142857142857,0.20203050891044216,1.0,0.8877551020408163,0.1955435320616628,1.1428571428571428,0.5652173913043478,0.4527349601029049,1.1428571428571428,-0.2857142857142857,-0.5584415584415585,0.23076923076923075,0.0,5,2,7,22,-5.75,0.0
Vietnam,2020-02-16,16,0,7.37,0.0,0.01,47.22,308.13,32.6,2.6,75.4,98186856.0,-9.0,-7.0,-11.0,-7.0,7.0,0.0,0.0,0.42857142857142855,0.0,1.0,0.5714285714285714,0.0,0.7755102040816327,0.24546419799549274,1.0,0.8775510204081634,0.2159796988624157,1.1428571428571428,0.5595238095238095,0.4436611948790057,1.1428571428571428,-0.2857142857142857,-0.5584415584415585,0.21428571428571427,0.0,6,2,7,23,-8.5,0.0
Vietnam,2020-02-17,16,0,7.37,0.0,0.01,47.22,308.13,32.6,2.6,75.4,98186856.0,-9.0,-7.0,-11.0,5.0,6.0,0.0,0.0,0.2857142857142857,0.0,0.8571428571428571,0.8571428571428571,0.0,0.6938775510204082,0.3022429917214022,1.0,0.836734693877551,0.2678898462505689,1.1428571428571428,0.5485714285714285,0.43775866988698753,1.1428571428571428,-0.30769230769230765,-0.30769230769230765,0.14285714285714285,0.0,0,2,8,24,-5.5,0.0
Vietnam,2020-02-18,16,0,7.37,0.0,0.01,47.22,308.13,32.6,2.6,75.4,98186856.0,-11.0,-4.0,-9.0,7.0,6.0,0.0,0.0,0.14285714285714285,0.0,1.0,0.8571428571428571,0.0,0.5714285714285714,0.32991443953692895,1.0,0.7857142857142856,0.32552336799117865,1.1428571428571428,0.532967032967033,0.4362319029546281,1.1428571428571428,-0.4285714285714286,-0.5054945054945056,0.07692307692307691,0.0,1,2,8,25,-4.25,0.0
Vietnam,2020-02-19,16,0,7.37,0.0,0.01,47.22,308.13,32.6,2.6,75.4,98186856.0,-9.0,-9.0,-12.0,7.0,4.0,0.0,0.0,0.14285714285714285,0.0,1.0,0.8571428571428571,0.0,0.44897959183673464,0.3022429917214022,0.8571428571428571,0.7346938775510204,0.36682327929506825,1.1428571428571428,0.5185185185185185,0.43429899514855635,1.1428571428571428,-0.4285714285714286,-0.5054945054945056,0.07692307692307691,0.0,2,2,8,26,-5.75,0.0
Vietnam,2020-02-20,16,0,7.37,0.0,0.01,47.22,308.13,32.6,2.6,75.4,98186856.0,-12.0,-10.0,-15.0,5.0,3.0,0.0,0.0,0.0,0.0,0.8571428571428571,1.1428571428571428,0.0,0.32653061224489793,0.2822924343026724,0.8571428571428571,0.6530612244897959,0.3950807628194945,1.1428571428571428,0.5,0.4373008671097115,1.1428571428571428,-0.4615384615384615,-0.32820512820512815,0.0,0.0,3,2,8,27,-8.0,0.0
Vietnam,2020-02-21,16,0,7.37,0.0,0.01,47.22,308.13,32.6,2.6,75.4,98186856.0,-7.0,-9.0,-12.0,-5.0,7.0,0.0,0.0,0.0,0.0,0.8571428571428571,1.1428571428571428,0.0,0.20408163265306123,0.18177400293724322,0.42857142857142855,0.5714285714285714,0.4040610178208843,1.0,0.4827586206896552,0.43934385396485115,1.1428571428571428,-0.4615384615384615,-0.32820512820512815,0.0,0.0,4,2,8,28,-8.25,0.0
Vietnam,2020-02-22,16,0,7.37,0.0,0.01,47.22,308.13,32.6,2.6,75.4,98186856.0,-7.0,-3.0,-9.0,-3.0,7.0,0.0,0.0,0.0,0.0,0.42857142857142855,1.0,0.5714285714285714,0.14285714285714285,0.16495721976846434,0.42857142857142855,0.5,0.41080386027513727,1.0,0.4666666666666667,0.4406081992752634,1.1428571428571428,-0.3,-0.01428571428571429,0.0,0.0,5,2,8,29,-5.5,0.0
Vietnam,2020-02-23,16,0,7.37,0.0,0.01,47.22,308.13,32.6,2.6,75.4,98186856.0,-9.0,-6.0,-12.0,-5.0,6.0,0.0,0.0,0.0,0.0,0.42857142857142855,1.0,0.5714285714285714,0.08163265306122448,0.11239939892420588,0.2857142857142857,0.42857142857142855,0.4040610178208844,1.0,0.4666666666666667,0.4406081992752634,1.1428571428571428,-0.3,-0.01428571428571429,0.0,0.0,6,2,8,30,-8.0,0.0
Vietnam,2020-02-24,16,0,7.37,0.0,0.01,47.22,308.13,32.6,2.6,75.4,98186856.0,-7.0,-5.0,-10.0,6.0,5.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.8571428571428571,0.8571428571428571,0.04081632653061224,0.06970714806775188,0.14285714285714285,0.36734693877551017,0.39903449296453736,1.0,0.4666666666666667,0.4406081992752634,1.1428571428571428,-0.22222222222222224,0.08547008547008542,0.0,0.0,0,2,9,31,-4.0,0.0
