country,date,confirmed_cumulative,deaths_cumulative,new_tests_per_thousand,total_vaccinations_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,hospital_beds_per_thousand,life_expectancy,population,mob_retail,mob_grocery,mob_transit,mob_work,mob_residential,new_cases,new_deaths,new_cases_7d,new_deaths_7d,new_cases_7d_lag7,new_cases_7d_lag14,new_cases_7d_lag21,new_cases_7d_rmean7,new_cases_7d_rstd7,new_cases_7d_rmax7,new_cases_7d_rmean14,new_cases_7d_rstd14,new_cases_7d_rmax14,new_cases_7d_rmean30,new_cases_7d_rstd30,new_cases_7d_rmax30,growth_rate,growth_accel,r0_estimate,cfr,day_of_week,month,week_of_year,days_since_start,mob_composite,vax_lag14
Zambia,2020-03-29,29,0,0.0,0.0,0.01,47.22,23.0,17.7,2.0,63.89,20017670.0,-21.0,-8.0,-24.0,0.0,10.0,1.0,0.0,2.4285714285714284,0.0,1.2857142857142858,0.14285714285714285,0.0,2.489795918367347,0.5939441718716424,3.5714285714285716,1.489795918367347,1.1842958359491191,3.5714285714285716,0.9545454545454546,1.1808204586479036,3.5714285714285716,0.4999999999999999,-0.5000000000000003,0.8499999999999999,0.0,6,3,13,11,-13.25,0.0
Zambia,2020-03-29,29,0,0.0,0.0,0.01,47.22,23.0,17.7,2.0,63.89,20017670.0,-28.0,-16.0,-25.0,-3.0,14.0,0.0,0.0,1.8571428571428572,0.0,1.8571428571428572,0.14285714285714285,0.0,2.489795918367347,0.5939441718716424,3.5714285714285716,1.6122448979591837,1.121263824153358,3.5714285714285716,0.9937888198757764,1.1689221371213117,3.5714285714285716,0.0,-1.5000000000000002,0.5,0.0,6,3,13,11,-18.0,0.0
Zambia,2020-03-30,35,0,0.0,0.0,0.01,47.22,23.0,17.7,2.0,63.89,20017670.0,-11.0,-3.0,-17.0,-12.0,10.0,6.0,0.0,2.7142857142857144,0.0,1.8571428571428572,0.14285714285714285,0.0,2.6122448979591835,0.5262774268664332,3.5714285714285716,1.795918367346939,1.0715593850022753,3.5714285714285716,1.0654761904761905,1.1959553002323293,3.5714285714285716,0.3,-1.2000000000000002,0.7307692307692307,0.0,0,3,14,12,-10.75,0.0
Zambia,2020-03-30,35,0,0.0,0.0,0.01,47.22,23.0,17.7,2.0,63.89,20017670.0,-13.0,-9.0,-18.0,-17.0,14.0,0.0,0.0,1.8571428571428572,0.0,2.7142857142857144,0.14285714285714285,0.0,2.489795918367347,0.5939441718716424,3.5714285714285716,1.9183673469387756,0.9603019634236782,3.5714285714285716,1.0971428571428572,1.181432314153109,3.5714285714285716,-0.23076923076923078,-2.4807692307692313,0.40625000000000006,0.0,0,3,14,12,-14.25,0.0
Zambia,2020-03-31,35,0,0.0,0.0,0.01,47.22,23.0,17.7,2.0,63.89,20017670.0,-8.0,1.0,-14.0,-15.0,9.0,0.0,0.0,1.8571428571428572,0.0,2.7142857142857144,0.14285714285714285,0.0,2.3673469387755097,0.6273643326097709,3.5714285714285716,2.0408163265306123,0.8147551595101558,3.5714285714285716,1.1263736263736264,1.167118847857213,3.5714285714285716,-0.23076923076923078,-2.4807692307692313,0.5652173913043479,0.0,1,3,14,13,-9.0,0.0
Zambia,2020-03-31,35,0,0.0,0.0,0.01,47.22,23.0,17.7,2.0,63.89,20017670.0,-12.0,-5.0,-16.0,-21.0,15.0,0.0,0.0,1.0,0.0,3.5714285714285716,0.14285714285714285,0.0,2.0,0.5532833351724875,2.7142857142857144,2.102040816326531,0.6826593382839069,3.5714285714285716,1.1216931216931216,1.1447125760624164,3.5714285714285716,-0.5625000000000001,-3.5625000000000004,0.2916666666666667,0.0,1,3,14,13,-13.5,0.0
Zambia,2020-04-01,36,0,0.01,0.0,0.01,47.22,23.0,17.7,2.0,63.89,20017670.0,-10.0,2.0,-14.0,-15.0,10.0,1.0,0.0,1.1428571428571428,0.0,2.2857142857142856,1.4285714285714286,0.0,1.836734693877551,0.6195706843027871,2.7142857142857144,2.0816326530612246,0.7081367988937747,3.5714285714285716,1.1224489795918369,1.1233213129175703,3.5714285714285716,-0.34782608695652173,-0.7007672634271098,0.39999999999999997,0.0,2,4,14,14,-9.25,0.0
Zambia,2020-04-01,36,0,0.01,0.0,0.01,47.22,23.0,17.7,2.0,63.89,20017670.0,-15.0,-5.0,-15.0,-22.0,16.0,0.0,0.0,1.0,0.0,2.4285714285714284,1.2857142857142858,0.14285714285714285,1.6326530612244898,0.6273643326097706,2.7142857142857144,2.061224489795918,0.7363925939864786,3.5714285714285716,1.1182266009852218,1.1033139621180932,3.5714285714285716,-0.41666666666666663,-0.9166666666666665,0.2692307692307692,0.0,2,4,14,14,-14.25,0.0
Zambia,2020-04-02,39,1,0.01,0.0,0.01,47.22,23.0,17.7,2.0,63.89,20017670.0,-13.0,1.0,-15.0,-17.0,11.0,3.0,1.0,1.4285714285714286,0.14285714285714285,1.8571428571428572,1.8571428571428572,0.14285714285714285,1.5714285714285714,0.6226998490772384,2.7142857142857144,2.0306122448979593,0.7542211332421747,3.5714285714285716,1.1285714285714288,1.0856040908558886,3.5714285714285716,-0.15,-0.15,0.5,2.5,3,4,14,15,-11.0,0.0
Zambia,2020-04-02,39,1,0.01,0.0,0.01,47.22,23.0,17.7,2.0,63.89,20017670.0,-18.0,-5.0,-16.0,-24.0,18.0,0.0,0.0,0.5714285714285714,0.14285714285714285,2.7142857142857144,1.8571428571428572,0.14285714285714285,1.2653061224489797,0.4768702630835875,1.8571428571428572,1.9387755102040818,0.8492572906532756,3.5714285714285716,1.1476190476190478,1.0700209691877653,3.5714285714285716,-0.576923076923077,-0.8769230769230769,0.19999999999999998,2.5,3,4,14,15,-15.75,0.0
Zambia,2020-04-03,39,1,0.01,0.0,0.01,47.22,23.0,17.7,2.0,63.89,20017670.0,-17.0,-5.0,-20.0,-14.0,13.0,0.0,0.0,0.5714285714285714,0.14285714285714285,1.8571428571428572,2.7142857142857144,0.14285714285714285,1.0816326530612246,0.4581621289927262,1.8571428571428572,1.7857142857142858,0.8908218560845179,3.5714285714285716,1.1666666666666667,1.0538514420137162,3.5714285714285716,-0.45,-0.21923076923076923,0.2857142857142857,2.5,4,4,14,16,-14.0,0.0
